Date,Price,Open,High,Low,Vol.,Change %
4-Oct-18,1.37,1.38,1.38,1.36,282.40K,0.74%
3-Oct-18,1.36,1.39,1.39,1.36,331.40K,-2.16%
2-Oct-18,1.39,1.4,1.42,1.38,411.50K,-0.71%
1-Oct-18,1.4,1.42,1.42,1.37,687.00K,-2.10%
28-Sep-18,1.43,1.42,1.44,1.41,269.40K,-0.69%
27-Sep-18,1.44,1.43,1.46,1.43,516.70K,0.70%
26-Sep-18,1.43,1.43,1.45,1.41,666.30K,1.42%
25-Sep-18,1.41,1.41,1.43,1.41,229.50K,0.00%
24-Sep-18,1.41,1.44,1.44,1.4,317.20K,-2.08%
21-Sep-18,1.44,1.39,1.45,1.39,2.02M,3.60%
20-Sep-18,1.39,1.39,1.42,1.37,910.70K,0.00%
19-Sep-18,1.39,1.4,1.4,1.37,919.00K,-0.71%
18-Sep-18,1.4,1.42,1.42,1.38,485.10K,-1.41%
14-Sep-18,1.42,1.42,1.45,1.39,886.90K,0.00%
13-Sep-18,1.42,1.38,1.45,1.36,542.80K,2.16%
12-Sep-18,1.39,1.45,1.45,1.38,1.03M,-6.08%
7-Sep-18,1.48,1.5,1.5,1.45,331.60K,-1.33%
6-Sep-18,1.5,1.52,1.53,1.45,734.50K,-1.32%
5-Sep-18,1.52,1.56,1.57,1.5,387.70K,-3.18%
4-Sep-18,1.57,1.51,1.57,1.51,439.50K,2.61%
3-Sep-18,1.53,1.59,1.59,1.51,607.00K,-4.97%
30-Aug-18,1.61,1.63,1.63,1.57,245.50K,-1.23%
29-Aug-18,1.63,1.64,1.66,1.6,245.00K,-0.61%
28-Aug-18,1.64,1.69,1.69,1.63,506.40K,-3.53%
27-Aug-18,1.7,1.73,1.76,1.7,810.40K,-1.16%
24-Aug-18,1.72,1.74,1.74,1.69,222.30K,-1.71%
23-Aug-18,1.75,1.71,1.76,1.7,320.90K,2.94%
21-Aug-18,1.7,1.77,1.79,1.67,670.60K,-4.49%
20-Aug-18,1.78,1.85,1.87,1.77,317.60K,-4.30%
