"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 12, 2019","0.280","0.280","0.280","0.275","79.51M","0.00%"
"Feb 11, 2019","0.280","0.280","0.285","0.275","125.10M","0.00%"
"Feb 08, 2019","0.280","0.265","0.285","0.260","467.33M","5.66%"
"Feb 07, 2019","0.265","0.265","0.265","0.260","82.05M","0.00%"
"Feb 04, 2019","0.265","0.260","0.265","0.260","42.63M","0.00%"
"Jan 31, 2019","0.265","0.265","0.270","0.255","277.85M","-1.85%"
"Jan 30, 2019","0.270","0.270","0.275","0.265","144.22M","0.00%"
"Jan 29, 2019","0.270","0.280","0.285","0.265","426.42M","-5.26%"
"Jan 28, 2019","0.285","0.285","0.300","0.280","291.00M","1.79%"
"Jan 25, 2019","0.280","0.285","0.285","0.275","104.53M","0.00%"
"Jan 24, 2019","0.280","0.285","0.285","0.280","29.69M","-1.75%"
"Jan 23, 2019","0.285","0.280","0.285","0.275","115.75M","1.79%"
"Jan 22, 2019","0.280","0.280","0.295","0.275","254.29M","-1.75%"
"Jan 18, 2019","0.285","0.290","0.290","0.280","170.89M","-1.72%"
"Jan 17, 2019","0.290","0.295","0.295","0.280","124.21M","0.00%"
"Jan 16, 2019","0.290","0.300","0.300","0.290","87.53M","-1.69%"
"Jan 15, 2019","0.295","0.305","0.305","0.285","106.84M","-3.28%"
"Jan 14, 2019","0.305","0.315","0.320","0.300","86.14M","-1.61%"
"Jan 11, 2019","0.310","0.300","0.320","0.295","185.43M","3.33%"
"Jan 10, 2019","0.300","0.300","0.310","0.295","152.77M","0.00%"
"Jan 09, 2019","0.300","0.295","0.300","0.290","57.08M","1.69%"
"Jan 08, 2019","0.295","0.295","0.300","0.285","92.22M","3.51%"
"Jan 07, 2019","0.285","0.295","0.295","0.285","41.10M","-1.72%"
"Jan 04, 2019","0.290","0.285","0.295","0.280","99.32M","3.57%"
"Jan 03, 2019","0.280","0.285","0.290","0.280","61.62M","0.00%"
"Jan 02, 2019","0.280","0.290","0.295","0.280","40.28M","-3.45%"
"Dec 31, 2018","0.290","0.290","0.300","0.285","71.10M","1.75%"
"Dec 28, 2018","0.285","0.295","0.295","0.285","60.37M","-3.39%"
"Dec 27, 2018","0.295","0.300","0.300","0.290","47.15M","1.72%"
"Dec 26, 2018","0.290","0.305","0.320","0.290","122.39M","-7.94%"
"Dec 24, 2018","0.315","0.295","0.320","0.295","75.55M","5.00%"
"Dec 21, 2018","0.300","0.285","0.300","0.275","72.55M","3.45%"
"Dec 20, 2018","0.290","0.285","0.295","0.280","61.17M","-1.69%"
"Dec 19, 2018","0.295","0.290","0.300","0.285","100.52M","-1.67%"
"Dec 18, 2018","0.300","0.315","0.315","0.300","39.20M","-6.25%"
"Dec 17, 2018","0.320","0.335","0.340","0.320","50.69M","-3.03%"
"Dec 14, 2018","0.330","0.340","0.340","0.330","9.24M","-1.49%"
"Dec 13, 2018","0.335","0.345","0.350","0.335","23.25M","-2.90%"
"Dec 12, 2018","0.345","0.330","0.350","0.330","43.54M","4.55%"
