"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 15, 2019","1.730","1.750","1.750","1.720","1.51M","-0.57%"
"Feb 14, 2019","1.740","1.780","1.780","1.730","2.49M","-2.25%"
"Feb 13, 2019","1.780","1.750","1.780","1.720","2.98M","2.89%"
"Feb 12, 2019","1.730","1.770","1.810","1.720","9.50M","-0.57%"
"Feb 11, 2019","1.740","1.600","1.740","1.600","10.08M","9.43%"
"Feb 08, 2019","1.590","1.580","1.600","1.570","1.70M","0.00%"
"Feb 07, 2019","1.590","1.600","1.610","1.580","1.08M","0.00%"
"Feb 04, 2019","1.590","1.590","1.600","1.570","717.90K","0.63%"
"Jan 31, 2019","1.580","1.620","1.630","1.580","2.46M","-0.63%"
"Jan 30, 2019","1.590","1.610","1.630","1.570","2.63M","0.00%"
"Jan 29, 2019","1.590","1.580","1.620","1.570","1.04M","0.00%"
"Jan 28, 2019","1.590","1.630","1.660","1.580","3.26M","-1.24%"
"Jan 25, 2019","1.610","1.600","1.670","1.590","7.61M","1.26%"
"Jan 24, 2019","1.590","1.580","1.620","1.570","2.29M","1.27%"
"Jan 23, 2019","1.570","1.550","1.600","1.530","1.23M","0.64%"
"Jan 22, 2019","1.560","1.640","1.650","1.550","1.63M","-3.11%"
"Jan 18, 2019","1.610","1.620","1.660","1.590","4.18M","1.90%"
"Jan 17, 2019","1.580","1.570","1.650","1.550","5.06M","1.28%"
"Jan 16, 2019","1.560","1.550","1.570","1.530","1.66M","1.96%"
"Jan 15, 2019","1.530","1.560","1.580","1.490","2.94M","-1.29%"
"Jan 14, 2019","1.550","1.630","1.650","1.550","3.58M","-3.73%"
"Jan 11, 2019","1.610","1.610","1.630","1.580","1.70M","1.26%"
"Jan 10, 2019","1.590","1.640","1.660","1.580","3.30M","-1.24%"
"Jan 09, 2019","1.610","1.670","1.710","1.600","5.01M","-0.62%"
"Jan 08, 2019","1.620","1.690","1.820","1.600","11.32M","-2.99%"
"Jan 07, 2019","1.670","1.550","1.680","1.530","6.97M","13.61%"
"Jan 04, 2019","1.470","1.460","1.540","1.350","11.49M","-6.96%"
"Jan 03, 2019","1.580","1.910","1.930","1.560","7.22M","-18.56%"
