Date,Price,Open,High,Low,Vol.,Change %
19-Dec-18,0.5,0.455,0.505,0.455,2.86M,7.53%
18-Dec-18,0.465,0.475,0.48,0.45,2.03M,-4.12%
17-Dec-18,0.485,0.49,0.505,0.475,2.39M,-3.00%
14-Dec-18,0.5,0.505,0.51,0.49,1.97M,-1.96%
13-Dec-18,0.51,0.525,0.53,0.5,3.02M,-3.77%
12-Dec-18,0.53,0.53,0.54,0.52,1.44M,0.95%
11-Dec-18,0.525,0.53,0.545,0.52,1.80M,-2.78%
10-Dec-18,0.54,0.555,0.56,0.525,1.74M,-4.42%
7-Dec-18,0.565,0.565,0.575,0.555,1.78M,0.00%
6-Dec-18,0.565,0.58,0.58,0.555,3.70M,-2.59%
5-Dec-18,0.58,0.575,0.585,0.57,2.03M,-2.52%
4-Dec-18,0.595,0.61,0.61,0.585,2.94M,-3.25%
3-Dec-18,0.615,0.58,0.615,0.58,6.79M,7.89%
30-Nov-18,0.57,0.61,0.615,0.565,6.01M,-5.79%
29-Nov-18,0.605,0.62,0.63,0.595,4.51M,-0.82%
28-Nov-18,0.61,0.635,0.64,0.605,6.70M,-3.94%
27-Nov-18,0.635,0.68,0.68,0.635,5.62M,-7.30%
26-Nov-18,0.685,0.675,0.69,0.67,2.15M,0.74%
23-Nov-18,0.68,0.695,0.7,0.67,2.75M,-2.16%
22-Nov-18,0.695,0.685,0.71,0.68,4.63M,0.72%
21-Nov-18,0.69,0.68,0.69,0.67,2.72M,-0.72%
19-Nov-18,0.695,0.71,0.71,0.69,1.73M,-2.11%
16-Nov-18,0.71,0.71,0.725,0.7,4.53M,0.71%
15-Nov-18,0.705,0.69,0.71,0.685,5.13M,2.17%
14-Nov-18,0.69,0.7,0.705,0.685,1.86M,-2.13%
13-Nov-18,0.705,0.69,0.705,0.685,3.30M,-0.70%
12-Nov-18,0.71,0.71,0.715,0.7,2.27M,0.00%
9-Nov-18,0.71,0.74,0.74,0.705,3.27M,-4.05%
8-Nov-18,0.74,0.75,0.76,0.73,4.60M,0.68%
7-Nov-18,0.735,0.745,0.75,0.72,2.57M,-0.68%
5-Nov-18,0.74,0.75,0.765,0.725,3.53M,-1.99%
2-Nov-18,0.755,0.725,0.77,0.72,17.10M,4.86%
1-Nov-18,0.72,0.705,0.745,0.695,16.12M,1.41%
31-Oct-18,0.71,0.685,0.715,0.68,15.91M,5.19%
30-Oct-18,0.675,0.67,0.685,0.665,6.21M,0.75%
29-Oct-18,0.67,0.7,0.705,0.665,5.09M,-4.29%
26-Oct-18,0.7,0.7,0.71,0.67,11.81M,1.45%
25-Oct-18,0.69,0.685,0.695,0.665,9.60M,-2.13%
24-Oct-18,0.705,0.72,0.735,0.695,10.90M,-2.08%
23-Oct-18,0.72,0.76,0.76,0.715,11.43M,-5.88%
22-Oct-18,0.765,0.775,0.785,0.76,6.39M,-1.29%
19-Oct-18,0.775,0.78,0.805,0.765,18.77M,-3.13%
18-Oct-18,0.8,0.775,0.83,0.76,48.46M,3.23%
17-Oct-18,0.775,0.775,0.78,0.755,15.77M,1.97%
16-Oct-18,0.76,0.755,0.78,0.755,6.14M,0.00%
15-Oct-18,0.76,0.795,0.81,0.755,14.00M,-3.80%
12-Oct-18,0.79,0.75,0.8,0.745,22.81M,4.64%
11-Oct-18,0.755,0.76,0.775,0.74,17.68M,-6.21%
10-Oct-18,0.805,0.845,0.86,0.77,11.70M,-4.17%
9-Oct-18,0.84,0.86,0.885,0.835,10.59M,-2.89%
8-Oct-18,0.865,0.895,0.895,0.855,9.24M,-3.89%
5-Oct-18,0.9,0.895,0.9,0.875,7.14M,-0.55%
4-Oct-18,0.905,0.91,0.925,0.89,8.39M,0.56%
3-Oct-18,0.9,0.925,0.945,0.89,13.09M,-2.17%
2-Oct-18,0.92,0.93,0.96,0.915,7.62M,-0.54%
1-Oct-18,0.925,0.975,0.975,0.92,14.56M,-5.13%
28-Sep-18,0.975,0.99,1.01,0.965,5.59M,-1.52%
27-Sep-18,0.99,1.01,1.03,0.975,10.21M,-3.88%
26-Sep-18,1.03,1,1.05,1,14.53M,3.00%
25-Sep-18,1,0.995,1.04,0.985,9.29M,0.00%
24-Sep-18,1,0.985,1.05,0.98,21.78M,-1.96%
21-Sep-18,1.02,0.925,1.04,0.925,42.70M,10.87%
20-Sep-18,0.92,0.91,0.935,0.905,9.19M,1.10%
19-Sep-18,0.91,0.895,0.93,0.89,14.24M,2.25%
18-Sep-18,0.89,0.89,0.91,0.88,7.14M,-1.66%
14-Sep-18,0.905,0.915,0.945,0.89,12.48M,-0.55%
13-Sep-18,0.91,0.86,0.925,0.86,17.44M,4.60%
12-Sep-18,0.87,0.905,0.92,0.86,13.63M,-6.95%
7-Sep-18,0.935,0.97,0.97,0.93,4.96M,-3.61%
6-Sep-18,0.97,0.98,1.02,0.96,6.76M,-1.52%
5-Sep-18,0.985,1.02,1.07,0.975,20.86M,-2.48%
4-Sep-18,1.01,0.89,1.02,0.89,23.30M,14.12%
3-Sep-18,0.885,0.895,0.9,0.855,10.45M,-6.84%
30-Aug-18,0.95,0.995,1,0.945,6.54M,-5.94%
29-Aug-18,1.01,0.95,1.03,0.95,10.55M,6.32%
28-Aug-18,0.95,1.01,1.01,0.94,15.69M,-9.52%
27-Aug-18,1.05,1.07,1.08,1.03,5.78M,-3.67%
24-Aug-18,1.09,1.11,1.13,1.07,5.36M,-1.80%
23-Aug-18,1.11,1.05,1.13,1.04,8.07M,4.72%
21-Aug-18,1.06,1.15,1.16,1.03,12.37M,-6.19%
20-Aug-18,1.13,1.19,1.22,1.12,13.84M,-4.24%
17-Aug-18,1.18,1.26,1.3,1.16,27.01M,-4.07%
16-Aug-18,1.23,1.15,1.25,1.13,17.06M,5.13%
15-Aug-18,1.17,1.1,1.18,1.1,13.61M,7.34%
14-Aug-18,1.09,1.09,1.14,1.07,17.64M,0.00%
13-Aug-18,1.09,1.03,1.1,1.01,21.39M,7.92%
10-Aug-18,1.01,1.01,1.05,0.995,6.75M,0.00%
9-Aug-18,1.01,0.96,1.05,0.955,12.24M,5.21%
8-Aug-18,0.96,0.91,0.98,0.89,16.86M,6.08%
7-Aug-18,0.905,0.85,0.915,0.845,12.03M,7.74%
6-Aug-18,0.84,0.82,0.85,0.82,2.75M,3.07%
3-Aug-18,0.815,0.805,0.82,0.805,2.20M,1.24%
