"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 15, 2019","5.480","5.480","5.520","5.460","13.99M","0.18%"
"Mar 14, 2019","5.470","5.470","5.500","5.450","8.98M","0.37%"
"Mar 13, 2019","5.450","5.390","5.470","5.380","11.80M","1.49%"
"Mar 12, 2019","5.370","5.300","5.390","5.290","14.23M","1.70%"
"Mar 11, 2019","5.280","5.420","5.440","5.280","9.58M","-2.04%"
"Mar 08, 2019","5.390","5.470","5.490","5.380","13.43M","-1.10%"
"Mar 07, 2019","5.450","5.500","5.530","5.450","14.50M","-1.27%"
"Mar 06, 2019","5.520","5.620","5.630","5.510","14.28M","-1.25%"
"Mar 05, 2019","5.590","5.620","5.660","5.590","11.37M","-0.89%"
"Mar 04, 2019","5.640","5.620","5.690","5.620","9.01M","-0.70%"
"Mar 01, 2019","5.680","5.840","5.850","5.650","19.45M","-2.91%"
"Feb 28, 2019","5.850","5.860","5.870","5.820","20.81M","-0.17%"
"Feb 27, 2019","5.860","5.880","5.890","5.840","7.62M","-0.34%"
"Feb 26, 2019","5.880","5.840","5.880","5.830","8.16M","0.68%"
"Feb 25, 2019","5.840","5.850","5.850","5.800","12.86M","0.00%"
"Feb 22, 2019","5.840","5.850","5.880","5.790","11.19M","0.00%"
"Feb 21, 2019","5.840","5.770","5.840","5.760","19.16M","1.39%"
"Feb 20, 2019","5.760","5.710","5.800","5.670","15.61M","1.23%"
"Feb 19, 2019","5.690","5.690","5.720","5.670","10.31M","-0.35%"
"Feb 18, 2019","5.710","5.720","5.750","5.680","7.91M","0.18%"
"Feb 15, 2019","5.700","5.800","5.800","5.680","5.20M","-1.38%"
"Feb 14, 2019","5.780","5.810","5.810","5.730","3.63M","0.00%"
"Feb 13, 2019","5.780","5.830","5.840","5.730","8.18M","-0.69%"
"Feb 12, 2019","5.820","5.780","5.850","5.750","17.71M","1.04%"
"Feb 11, 2019","5.760","5.680","5.780","5.650","9.14M","1.59%"
"Feb 08, 2019","5.670","5.640","5.680","5.640","8.59M","0.35%"
"Feb 07, 2019","5.650","5.680","5.690","5.650","4.45M","0.00%"
"Feb 04, 2019","5.650","5.710","5.710","5.620","6.68M","0.53%"
"Jan 31, 2019","5.620","5.680","5.700","5.610","12.76M","-0.71%"
"Jan 30, 2019","5.660","5.650","5.680","5.640","6.98M","-0.18%"
"Jan 29, 2019","5.670","5.660","5.690","5.640","13.76M","0.18%"
"Jan 28, 2019","5.660","5.700","5.700","5.640","10.61M","-0.35%"
"Jan 25, 2019","5.680","5.690","5.690","5.650","9.70M","0.53%"
"Jan 24, 2019","5.650","5.680","5.710","5.620","13.40M","-0.18%"
"Jan 23, 2019","5.660","5.720","5.750","5.660","12.43M","-1.91%"
"Jan 22, 2019","5.770","5.720","5.770","5.670","16.37M","1.76%"
"Jan 18, 2019","5.670","5.650","5.680","5.630","4.82M","0.35%"
"Jan 17, 2019","5.650","5.650","5.650","5.620","6.07M","0.00%"
"Jan 16, 2019","5.650","5.670","5.670","5.640","5.70M","-0.35%"
"Jan 15, 2019","5.670","5.650","5.700","5.630","9.37M","0.35%"
"Jan 14, 2019","5.650","5.650","5.680","5.620","3.89M","0.00%"
"Jan 11, 2019","5.650","5.660","5.680","5.620","6.38M","0.00%"
"Jan 10, 2019","5.650","5.660","5.690","5.620","8.11M","0.00%"
"Jan 09, 2019","5.650","5.670","5.690","5.640","12.03M","0.00%"
"Jan 08, 2019","5.650","5.670","5.710","5.640","11.51M","0.18%"
"Jan 07, 2019","5.640","5.670","5.710","5.640","10.36M","0.18%"
"Jan 04, 2019","5.630","5.630","5.670","5.620","3.50M","-0.35%"
"Jan 03, 2019","5.650","5.680","5.720","5.620","5.20M","0.00%"
"Jan 02, 2019","5.650","5.720","5.740","5.620","6.00M","-1.05%"
"Dec 31, 2018","5.710","5.790","5.800","5.710","4.68M","-1.21%"
"Dec 28, 2018","5.780","5.720","5.800","5.720","4.56M","0.00%"
"Dec 27, 2018","5.780","5.770","5.800","5.730","3.39M","1.05%"
"Dec 26, 2018","5.720","5.630","5.760","5.610","4.09M","0.70%"
"Dec 24, 2018","5.680","5.650","5.730","5.620","3.54M","0.53%"
"Dec 21, 2018","5.650","5.650","5.770","5.600","10.56M","0.00%"
"Dec 20, 2018","5.650","5.600","5.680","5.600","4.64M","-0.88%"
"Dec 19, 2018","5.700","5.650","5.700","5.600","5.30M","1.24%"
"Dec 18, 2018","5.630","5.600","5.690","5.580","9.53M","-1.40%"
"Dec 17, 2018","5.710","5.750","5.790","5.670","4.33M","-1.55%"
"Dec 14, 2018","5.800","5.820","5.830","5.750","5.56M","-0.68%"
"Dec 13, 2018","5.840","5.760","5.910","5.740","5.85M","1.57%"
"Dec 12, 2018","5.750","5.570","5.770","5.540","13.74M","4.36%"
"Dec 11, 2018","5.510","5.640","5.670","5.510","7.43M","-2.48%"
"Dec 10, 2018","5.650","5.770","5.770","5.640","6.57M","-2.25%"
"Dec 07, 2018","5.780","5.780","5.820","5.740","6.27M","-0.34%"
"Dec 06, 2018","5.800","5.740","5.850","5.720","7.13M","0.00%"
"Dec 05, 2018","5.800","5.750","5.810","5.720","7.59M","-0.17%"
"Dec 04, 2018","5.810","5.800","5.890","5.740","9.74M","-1.53%"
"Dec 03, 2018","5.900","5.800","6.030","5.800","22.95M","2.43%"
"Nov 30, 2018","5.760","5.800","5.870","5.750","16.82M","-1.54%"
"Nov 29, 2018","5.850","5.780","5.870","5.780","9.67M","1.74%"
"Nov 28, 2018","5.750","5.690","5.750","5.660","4.84M","0.88%"
"Nov 27, 2018","5.700","5.680","5.710","5.620","5.47M","0.35%"
"Nov 26, 2018","5.680","5.620","5.680","5.590","4.28M","0.89%"
"Nov 23, 2018","5.630","5.630","5.640","5.620","2.58M","-0.35%"
"Nov 22, 2018","5.650","5.660","5.670","5.580","5.58M","-0.18%"
"Nov 21, 2018","5.660","5.650","5.670","5.600","5.14M","-1.22%"
"Nov 19, 2018","5.730","5.680","5.750","5.630","5.17M","1.42%"
"Nov 16, 2018","5.650","5.680","5.700","5.620","5.53M","1.07%"
"Nov 15, 2018","5.590","5.520","5.630","5.510","5.40M","1.64%"
"Nov 14, 2018","5.500","5.480","5.530","5.470","3.54M","0.00%"
"Nov 13, 2018","5.500","5.480","5.510","5.410","8.92M","-0.18%"
"Nov 12, 2018","5.510","5.600","5.620","5.480","7.42M","-1.08%"
"Nov 09, 2018","5.570","5.680","5.690","5.560","13.96M","-2.11%"
"Nov 08, 2018","5.690","5.680","5.710","5.650","9.02M","0.18%"
"Nov 07, 2018","5.680","5.740","5.760","5.600","8.62M","0.00%"
"Nov 05, 2018","5.680","5.700","5.720","5.600","13.13M","0.00%"
"Nov 02, 2018","5.680","5.750","5.770","5.660","13.26M","-0.35%"
"Nov 01, 2018","5.700","5.770","5.780","5.650","9.53M","-0.35%"
"Oct 31, 2018","5.720","5.600","5.820","5.580","11.97M","2.51%"
"Oct 30, 2018","5.580","5.580","5.650","5.560","4.26M","-0.36%"
"Oct 29, 2018","5.600","5.610","5.630","5.580","3.28M","0.00%"
"Oct 26, 2018","5.600","5.620","5.640","5.560","6.26M","0.36%"
"Oct 25, 2018","5.580","5.660","5.660","5.500","20.87M","-2.11%"
"Oct 24, 2018","5.700","5.760","5.870","5.680","13.08M","-0.87%"
"Oct 23, 2018","5.750","5.970","5.970","5.750","10.85M","-3.85%"
"Oct 22, 2018","5.980","6.030","6.030","5.890","11.44M","-0.66%"
"Oct 19, 2018","6.020","6.020","6.020","5.920","7.41M","-0.17%"
"Oct 18, 2018","6.030","6.030","6.040","6.000","12.73M","0.00%"
"Oct 17, 2018","6.030","6.040","6.050","5.970","11.63M","0.00%"
"Oct 16, 2018","6.030","5.900","6.030","5.880","2.55M","1.69%"
"Oct 15, 2018","5.930","5.890","5.970","5.860","11.61M","-0.34%"
"Oct 12, 2018","5.950","5.640","5.960","5.620","17.30M","5.12%"
"Oct 11, 2018","5.660","5.730","5.730","5.570","26.52M","-3.08%"
"Oct 10, 2018","5.840","6.040","6.050","5.770","12.77M","-3.31%"
"Oct 09, 2018","6.040","6.000","6.050","5.980","10.05M","0.00%"
"Oct 08, 2018","6.040","6.030","6.050","5.970","6.31M","0.00%"
"Oct 05, 2018","6.040","6.060","6.060","6.020","16.22M","-0.33%"
"Oct 04, 2018","6.060","6.050","6.070","6.020","18.25M","0.17%"
"Oct 03, 2018","6.050","6.030","6.050","6.010","12.23M","0.17%"
"Oct 02, 2018","6.040","6.030","6.040","5.980","4.74M","0.50%"
"Oct 01, 2018","6.010","6.020","6.040","6.000","2.71M","0.00%"
"Sep 28, 2018","6.010","6.050","6.080","5.940","11.64M","-0.33%"
"Sep 27, 2018","6.030","6.040","6.060","6.010","9.28M","-0.17%"
"Sep 26, 2018","6.040","6.010","6.080","6.000","14.64M","0.67%"
"Sep 25, 2018","6.000","6.020","6.020","5.990","24.70M","-0.50%"
"Sep 24, 2018","6.030","6.020","6.060","6.020","17.11M","-2.74%"
"Sep 21, 2018","6.200","6.190","6.200","6.140","23.18M","0.98%"
"Sep 20, 2018","6.140","6.140","6.170","6.110","10.42M","0.33%"
"Sep 19, 2018","6.120","6.070","6.140","6.070","10.39M","1.32%"
"Sep 18, 2018","6.040","6.100","6.170","6.010","29.30M","-3.05%"
"Sep 14, 2018","6.230","6.100","6.280","6.100","23.32M","2.30%"
"Sep 13, 2018","6.090","5.940","6.120","5.900","20.70M","3.22%"
"Sep 12, 2018","5.900","5.870","5.960","5.840","21.87M","-0.34%"
"Sep 07, 2018","5.920","5.920","5.940","5.880","8.95M","0.00%"
"Sep 06, 2018","5.920","5.880","5.980","5.840","11.23M","0.85%"
"Sep 05, 2018","5.870","6.090","6.110","5.870","27.26M","-3.77%"
"Sep 04, 2018","6.100","6.090","6.120","6.070","7.19M","0.00%"
"Sep 03, 2018","6.100","6.110","6.160","6.050","4.37M","0.16%"
"Aug 30, 2018","6.090","6.110","6.130","6.070","16.42M","0.00%"
"Aug 29, 2018","6.090","6.080","6.190","6.010","25.91M","0.16%"
"Aug 28, 2018","6.080","5.970","6.080","5.940","10.50M","2.01%"
"Aug 27, 2018","5.960","5.980","5.980","5.890","8.85M","-0.33%"
