"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 21, 2018","0.385","0.355","0.385","0.355","1.80M","5.48%"
"Dec 20, 2018","0.365","0.360","0.375","0.360","1.05M","-1.35%"
"Dec 19, 2018","0.370","0.345","0.380","0.340","2.38M","7.25%"
"Dec 18, 2018","0.345","0.355","0.355","0.340","758.90K","-5.48%"
"Dec 17, 2018","0.365","0.360","0.365","0.355","550.70K","0.00%"
"Dec 14, 2018","0.365","0.385","0.385","0.365","1.72M","-5.19%"
"Dec 13, 2018","0.385","0.385","0.390","0.380","786.90K","0.00%"
"Dec 12, 2018","0.385","0.385","0.395","0.380","1.31M","0.00%"
"Dec 11, 2018","0.385","0.400","0.400","0.380","1.57M","-2.53%"
"Dec 10, 2018","0.395","0.400","0.405","0.395","471.20K","-2.47%"
"Dec 07, 2018","0.405","0.410","0.415","0.400","629.20K","0.00%"
"Dec 06, 2018","0.405","0.415","0.415","0.405","563.70K","-1.22%"
"Dec 05, 2018","0.410","0.415","0.415","0.410","1.02M","-3.53%"
"Dec 04, 2018","0.425","0.440","0.440","0.420","910.60K","-2.30%"
"Dec 03, 2018","0.435","0.410","0.440","0.405","2.17M","7.41%"
"Nov 30, 2018","0.405","0.400","0.410","0.400","2.61M","-3.57%"
"Nov 29, 2018","0.420","0.440","0.445","0.420","1.46M","-4.55%"
"Nov 28, 2018","0.440","0.440","0.450","0.435","932.80K","0.00%"
"Nov 27, 2018","0.440","0.455","0.455","0.440","2.80M","-4.35%"
"Nov 26, 2018","0.460","0.460","0.465","0.450","1.49M","0.00%"
"Nov 23, 2018","0.460","0.470","0.470","0.450","1.99M","-1.08%"
"Nov 22, 2018","0.465","0.470","0.480","0.465","3.87M","0.00%"
"Nov 21, 2018","0.465","0.465","0.475","0.460","3.46M","-3.12%"
"Nov 19, 2018","0.480","0.480","0.485","0.475","756.50K","-1.03%"
"Nov 16, 2018","0.485","0.485","0.495","0.480","1.94M","0.00%"
"Nov 15, 2018","0.485","0.475","0.490","0.475","1.92M","2.11%"
"Nov 14, 2018","0.475","0.490","0.490","0.465","1.39M","-3.06%"
"Nov 13, 2018","0.490","0.470","0.490","0.470","1.07M","1.03%"
"Nov 12, 2018","0.485","0.490","0.490","0.485","642.20K","-1.02%"
"Nov 09, 2018","0.490","0.505","0.505","0.485","2.17M","-2.97%"
"Nov 08, 2018","0.505","0.510","0.515","0.500","2.57M","1.00%"
"Nov 07, 2018","0.500","0.510","0.515","0.495","2.36M","-0.99%"
"Nov 05, 2018","0.505","0.515","0.515","0.490","2.28M","-1.94%"
"Nov 02, 2018","0.515","0.490","0.520","0.485","7.79M","6.19%"
"Nov 01, 2018","0.485","0.485","0.505","0.475","6.32M","1.04%"
"Oct 31, 2018","0.480","0.460","0.485","0.460","7.29M","5.49%"
"Oct 30, 2018","0.455","0.450","0.460","0.445","2.54M","1.11%"
"Oct 29, 2018","0.450","0.475","0.475","0.445","2.34M","-5.26%"
"Oct 26, 2018","0.475","0.475","0.480","0.445","3.95M","2.15%"
"Oct 25, 2018","0.465","0.480","0.480","0.450","6.64M","-5.10%"
"Oct 24, 2018","0.490","0.495","0.510","0.485","5.87M","-1.01%"
"Oct 23, 2018","0.495","0.515","0.515","0.495","3.98M","-4.81%"
"Oct 22, 2018","0.520","0.530","0.540","0.515","2.11M","-1.89%"
"Oct 19, 2018","0.530","0.545","0.555","0.520","5.23M","-4.50%"
"Oct 18, 2018","0.555","0.530","0.560","0.520","20.18M","5.71%"
"Oct 17, 2018","0.525","0.525","0.525","0.515","3.90M","1.94%"
"Oct 16, 2018","0.515","0.515","0.520","0.510","1.21M","0.00%"
"Oct 15, 2018","0.515","0.535","0.540","0.505","4.41M","-3.74%"
"Oct 12, 2018","0.535","0.520","0.545","0.520","7.59M","1.90%"
"Oct 11, 2018","0.525","0.515","0.530","0.500","4.53M","-2.78%"
"Oct 10, 2018","0.540","0.570","0.585","0.540","3.98M","-5.26%"
"Oct 09, 2018","0.570","0.570","0.590","0.570","1.37M","0.00%"
"Oct 08, 2018","0.570","0.590","0.590","0.570","2.93M","-3.39%"
"Oct 05, 2018","0.590","0.590","0.595","0.585","2.41M","-0.84%"
"Oct 04, 2018","0.595","0.600","0.610","0.590","3.30M","-0.83%"
"Oct 03, 2018","0.600","0.600","0.610","0.590","2.37M","0.00%"
"Oct 02, 2018","0.600","0.600","0.620","0.600","3.80M","-0.83%"
"Oct 01, 2018","0.605","0.615","0.615","0.590","6.26M","-2.42%"
"Sep 28, 2018","0.620","0.620","0.635","0.615","1.84M","-0.80%"
"Sep 27, 2018","0.625","0.645","0.645","0.620","3.53M","-3.10%"
"Sep 26, 2018","0.645","0.635","0.660","0.630","5.74M","1.57%"
"Sep 25, 2018","0.635","0.635","0.650","0.625","2.56M","0.00%"
"Sep 24, 2018","0.635","0.645","0.650","0.625","6.71M","-1.55%"
"Sep 21, 2018","0.645","0.610","0.655","0.610","16.07M","5.74%"
"Sep 20, 2018","0.610","0.615","0.625","0.605","3.69M","0.00%"
"Sep 19, 2018","0.610","0.605","0.625","0.605","5.13M","2.52%"
"Sep 18, 2018","0.595","0.600","0.605","0.590","1.60M","-0.83%"
"Sep 14, 2018","0.600","0.605","0.625","0.595","5.87M","-0.83%"
"Sep 13, 2018","0.605","0.570","0.610","0.570","8.90M","5.22%"
"Sep 12, 2018","0.575","0.605","0.605","0.570","4.64M","-4.96%"
"Sep 07, 2018","0.605","0.620","0.620","0.600","2.95M","-2.42%"
"Sep 06, 2018","0.620","0.635","0.650","0.610","6.78M","-2.36%"
"Sep 05, 2018","0.635","0.655","0.685","0.635","9.10M","-3.79%"
"Sep 04, 2018","0.660","0.610","0.665","0.610","9.02M","8.20%"
"Sep 03, 2018","0.610","0.640","0.640","0.590","3.60M","-4.69%"
"Aug 30, 2018","0.640","0.650","0.670","0.640","5.75M","-5.88%"
"Aug 29, 2018","0.680","0.660","0.695","0.660","3.98M","3.03%"
"Aug 28, 2018","0.660","0.690","0.690","0.650","5.93M","-5.04%"
"Aug 27, 2018","0.695","0.720","0.720","0.690","3.85M","-2.11%"
"Aug 24, 2018","0.710","0.735","0.745","0.700","6.48M","-3.40%"
"Aug 23, 2018","0.735","0.730","0.765","0.725","8.06M","0.00%"
"Aug 21, 2018","0.735","0.765","0.785","0.720","6.53M","-5.16%"
"Aug 20, 2018","0.775","0.795","0.800","0.760","7.23M","-3.13%"
"Aug 17, 2018","0.800","0.830","0.840","0.795","8.04M","-3.03%"
"Aug 16, 2018","0.825","0.825","0.830","0.810","7.07M","-1.20%"
"Aug 15, 2018","0.835","0.840","0.855","0.825","8.75M","0.00%"
"Aug 14, 2018","0.835","0.825","0.865","0.825","18.39M","0.60%"
"Aug 13, 2018","0.830","0.800","0.835","0.785","16.77M","4.40%"
"Aug 10, 2018","0.795","0.815","0.830","0.790","5.89M","-1.24%"
"Aug 09, 2018","0.805","0.785","0.835","0.785","18.51M","2.55%"
"Aug 08, 2018","0.785","0.760","0.815","0.755","20.14M","3.29%"
"Aug 07, 2018","0.760","0.700","0.760","0.700","14.12M","8.57%"
"Aug 06, 2018","0.700","0.695","0.710","0.695","2.37M","0.72%"
"Aug 03, 2018","0.695","0.700","0.710","0.690","2.47M","-0.71%"
"Aug 02, 2018","0.700","0.725","0.725","0.690","3.81M","-3.45%"
"Aug 01, 2018","0.725","0.715","0.735","0.715","3.13M","1.40%"
"Jul 31, 2018","0.715","0.730","0.740","0.705","3.14M","-2.05%"
"Jul 30, 2018","0.730","0.715","0.745","0.715","10.26M","2.10%"
"Jul 27, 2018","0.715","0.720","0.725","0.705","2.74M","-1.38%"
"Jul 26, 2018","0.725","0.730","0.745","0.710","13.29M","-0.68%"
"Jul 25, 2018","0.730","0.685","0.730","0.675","24.75M","7.35%"
"Jul 24, 2018","0.680","0.665","0.690","0.660","11.90M","2.26%"
"Jul 23, 2018","0.665","0.650","0.675","0.640","6.47M","0.76%"
"Jul 20, 2018","0.660","0.675","0.690","0.655","6.92M","-3.65%"
"Jul 19, 2018","0.685","0.645","0.685","0.645","20.85M","7.87%"
"Jul 18, 2018","0.635","0.590","0.645","0.580","12.63M","8.55%"
"Jul 17, 2018","0.585","0.585","0.590","0.580","2.02M","1.74%"
"Jul 16, 2018","0.575","0.600","0.605","0.570","3.24M","-3.36%"
"Jul 13, 2018","0.595","0.615","0.620","0.590","7.77M","0.85%"
"Jul 12, 2018","0.590","0.520","0.595","0.515","9.33M","12.38%"
"Jul 11, 2018","0.525","0.545","0.545","0.520","1.95M","-3.67%"
"Jul 10, 2018","0.545","0.545","0.565","0.535","3.82M","0.00%"
"Jul 09, 2018","0.545","0.560","0.560","0.540","2.04M","-2.68%"
"Jul 06, 2018","0.560","0.575","0.575","0.560","2.37M","-1.75%"
"Jul 05, 2018","0.570","0.570","0.575","0.560","2.19M","0.00%"
"Jul 04, 2018","0.570","0.580","0.580","0.565","2.40M","-1.72%"
"Jul 03, 2018","0.580","0.595","0.595","0.575","1.90M","-1.69%"
"Jul 02, 2018","0.590","0.605","0.605","0.585","2.05M","-1.67%"
"Jun 29, 2018","0.600","0.600","0.620","0.600","1.99M","-0.83%"
"Jun 28, 2018","0.605","0.600","0.605","0.595","1.61M","0.00%"
"Jun 27, 2018","0.605","0.620","0.620","0.600","1.57M","-1.63%"
"Jun 26, 2018","0.615","0.615","0.620","0.605","1.33M","-1.60%"
"Jun 25, 2018","0.625","0.635","0.650","0.620","1.37M","-1.57%"
"Jun 22, 2018","0.635","0.630","0.645","0.620","1.97M","0.79%"
"Jun 21, 2018","0.630","0.650","0.665","0.620","5.18M","-2.33%"
"Jun 20, 2018","0.645","0.635","0.660","0.630","2.59M","1.57%"
"Jun 19, 2018","0.635","0.650","0.660","0.630","2.63M","-3.05%"
"Jun 18, 2018","0.655","0.655","0.660","0.645","851.70K","-0.76%"
"Jun 14, 2018","0.660","0.675","0.675","0.655","1.64M","-2.22%"
"Jun 13, 2018","0.675","0.650","0.685","0.640","5.40M","3.85%"
"Jun 12, 2018","0.650","0.665","0.665","0.645","1.47M","-2.26%"
"Jun 11, 2018","0.665","0.655","0.670","0.650","2.47M","3.10%"
"Jun 08, 2018","0.645","0.690","0.695","0.635","9.53M","-5.84%"
"Jun 07, 2018","0.685","0.690","0.720","0.685","5.82M","0.74%"
"Jun 06, 2018","0.680","0.615","0.685","0.610","12.38M","11.48%"
"Jun 05, 2018","0.610","0.605","0.610","0.595","2.49M","0.83%"
"Jun 04, 2018","0.605","0.620","0.625","0.605","3.03M","-1.63%"
"Jun 01, 2018","0.615","0.595","0.635","0.595","6.81M","3.36%"
"May 31, 2018","0.595","0.615","0.620","0.595","7.67M","-0.83%"
"May 30, 2018","0.600","0.705","0.705","0.580","15.25M","-20.00%"
"May 28, 2018","0.750","0.795","0.800","0.750","4.59M","-3.85%"
"May 25, 2018","0.780","0.760","0.780","0.760","732.10K","1.96%"
"May 24, 2018","0.765","0.790","0.790","0.755","2.88M","-3.16%"
"May 23, 2018","0.790","0.815","0.815","0.780","2.83M","-3.66%"
"May 22, 2018","0.820","0.825","0.825","0.790","4.49M","0.00%"
"May 21, 2018","0.820","0.830","0.830","0.805","4.03M","4.46%"
"May 18, 2018","0.785","0.800","0.805","0.775","3.52M","-2.48%"
"May 17, 2018","0.805","0.845","0.845","0.795","2.51M","-4.17%"
"May 16, 2018","0.840","0.850","0.855","0.830","6.09M","1.82%"
"May 15, 2018","0.825","0.770","0.830","0.770","5.81M","7.14%"
"May 14, 2018","0.770","0.780","0.825","0.705","6.22M","-1.28%"
"May 08, 2018","0.780","0.760","0.785","0.760","3.59M","1.96%"
"May 07, 2018","0.765","0.780","0.780","0.760","2.14M","-1.92%"
"May 04, 2018","0.780","0.780","0.785","0.775","2.62M","0.00%"
"May 03, 2018","0.780","0.790","0.800","0.780","3.31M","-1.89%"
"May 02, 2018","0.795","0.790","0.805","0.770","4.95M","0.00%"
"Apr 30, 2018","0.795","0.800","0.805","0.775","1.33M","0.00%"
"Apr 27, 2018","0.795","0.800","0.805","0.775","3.15M","1.27%"
"Apr 26, 2018","0.785","0.795","0.810","0.770","2.34M","-0.63%"
