Sentiment,RSI,EMAcross,MACD,WPR,ADX,CCI,CMO,ROC,Price.up
0,3.591774271,-0.007563765,-0.494542359,1,7.146551888,-148.974359,-33.33333333,-0.031252544,1
1,3.591774271,-0.00504251,-0.809875086,1,6.891353796,-137.9844961,-44.44444444,-0.016000341,0
1,49.7962667,-2.83E-05,-1.080566871,0.909090909,8.333451764,-97.22222222,-29.41176471,0,0
0,28.97004346,-0.003352227,-1.331304151,0.818181818,9.72032511,-65.74585635,-29.41176471,0.031748698,1
0,56.35218853,0.001098516,-1.529391275,0.909090909,9.348009356,-71.79487179,-60,0,0
1,35.70544307,-0.00260099,-1.705342048,0.818181818,8.803315081,-46.10778443,-60,0,1
1,35.70544307,-0.001733993,-1.854673723,0.818181818,8.283518743,-39.16083916,-60,0.015748357,1
0,35.70544307,-0.001155995,-1.975559174,0.875,7.9466472,-58.33333333,-62.5,-0.015748357,1
1,35.70544307,-0.000770664,-2.068010767,1,7.613218894,-85.3046595,-57.14285714,-0.031748698,0
1,35.70544307,-0.000513776,-2.133269532,1,7.284080929,-87.92270531,-57.14285714,-0.016000341,0
0,9.440249845,-0.00367585,-2.198347278,1,7.118372328,-84.84848485,-50,0,1
1,71.76028715,0.0042161,-2.205097323,1,10.9456051,-159.4936709,-53.84615385,-0.016260521,0
0,81.37374018,0.006144066,-2.144932557,0,11.91677054,100.9009009,-7.692307692,0.031748698,1
1,81.37374018,0.004096044,-2.041085164,0.333333333,10.90872011,12.61261261,0,0.032260862,0
1,81.37374018,0.002730696,-1.910644729,0.333333333,9.997929719,12.61261261,0,-0.015748357,0
1,91.33230261,0.005153797,-1.741262476,0,11.23555202,159.4936709,23.07692308,0.031252544,0
0,21.70490614,-0.009897468,-1.651466854,0,9.914328818,124.1134752,16.66666667,0.031252544,1
1,21.70490614,-0.006598312,-1.612871278,0.75,9.142468567,-75.2688172,-14.28571429,-0.047252885,1
1,21.70490614,-0.004398875,-1.605012405,0.75,8.774628703,-66.66666667,-7.692307692,-0.047252885,1
0,21.70490614,-0.002932583,-1.613410827,1,10.27338036,-111.1111111,-23.07692308,-0.016260521,0
1,11.04658461,-0.005288389,-1.653359207,1,9.445666465,-96.85534591,-23.07692308,-0.016260521,0
0,11.04658461,-0.003525593,-1.707598124,1,8.691533426,-84.84848485,-16.66666667,0,0
1,11.04658461,-0.002350395,-1.764361401,1,8.003397207,-77.10144928,-9.090909091,0,0
0,1.009384539,-0.02156693,-1.970749718,1,6.964254118,-70,-9.090909091,0,1
0,19.33331986,-0.01104462,-2.232513944,1,6.218915641,-275.3623188,-41.17647059,-0.103540679,0
1,19.33331986,-0.00736308,-2.512119707,0.9,6.101705919,-180.952381,-29.41176471,-0.085522173,0
0,19.33331986,-0.00490872,-2.784098458,0.9,5.980322803,-145.5657492,-57.14285714,0.018018506,0
0,19.33331986,-0.00327248,-3.03196623,0.9,7.788945154,-110.3359173,-53.84615385,0,0
0,5.072598402,-0.012181653,-3.327914283,0.9,7.013163193,-88.73239437,-53.84615385,0,1
0,5.072598402,-0.008121102,-3.633578574,1,6.458925596,-127.2727273,-85.71428571,-0.055059777,0
0,3.265863717,-0.008747401,-3.951338468,1,6.324363254,-109.0909091,-85.71428571,-0.055059777,0
1,36.95075,-0.002498268,-4.225059267,1,5.925525669,-95.45454545,-81.81818182,0,0
1,58.58376994,0.001667822,-4.419974453,0.875,7.834625575,-67.13450292,-66.66666667,0.018692133,0
0,58.58376994,0.001111881,-4.545835258,0.875,7.485449804,-61.97916667,-63.63636364,0.018692133,0
0,83.72009095,0.007407921,-4.554513148,0.875,11.20911184,-58.06451613,-63.63636364,0,0
1,83.72009095,0.004938614,-4.478857074,0.875,10.2429652,-49.64539007,-63.63636364,0,0
1,83.72009095,0.003292409,-4.344061814,0.875,9.372939018,-41.55251142,-63.63636364,0,0
1,91.9572692,0.005528273,-4.140796055,0,14.27476273,135.0877193,-28.57142857,0.054067221,1
0,91.9572692,0.003685515,-3.895777235,0,13.13680662,111.2820513,25,0.054067221,1
1,91.9572692,0.00245701,-3.628510509,0,12.09817583,101.4492754,14.28571429,0,1
0,91.9572692,0.001638007,-3.353006137,0.25,11.60416119,54.10628019,0,-0.017699577,0
1,91.9572692,0.001092005,-3.079112594,0.25,11.35450472,54.10628019,0,-0.017699577,0
1,18.99070585,-0.00260533,-2.841793017,0,10.85165334,92.69406393,11.11111111,0.017699577,1
1,18.99070585,-0.001736887,-2.633405002,0,10.35766358,79.36507937,66.66666667,0.017699577,1
0,18.99070585,-0.001157925,-2.448108214,0,9.873621426,70,66.66666667,0,1
1,18.99070585,-0.00077195,-2.28144704,0.333333333,13.54318786,15.55555556,42.85714286,-0.017699577,0
1,91.03286217,0.006152034,-2.073432953,0,12.90758691,64.81481481,42.85714286,0,0
1,94.62073013,0.007434689,-1.817692052,0,14.3469853,114.379085,50,0.03509132,0
0,96.6383123,0.008289793,-1.513714974,0,16.06393654,107.6923077,50,0.017391743,0
1,97.84865654,0.008859862,-1.16488688,0,14.55431478,184.2105263,55.55555556,0.017094433,0
1,98.9657609,0.012573241,-0.749775675,0,19.65783735,258.6956522,63.63636364,0.050430854,0
1,98.9657609,0.008382161,-0.314688763,0,17.92371373,178.3197832,50,0.03333642,0
1,35.95487645,-0.004411893,0.029382938,0,16.02117551,169.6969697,55.55555556,0.016260521,1
0,35.95487645,-0.002941262,0.298246269,0,14.3776448,128.6486486,55.55555556,0.016260521,1
1,35.95487645,-0.001960841,0.505150491,0.333333333,13.48385874,48.1884058,40,-0.032789823,0
1,35.95487645,-0.001307227,0.661185917,0.333333333,12.63779732,40,40,-0.032789823,0
1,17.33248974,-0.004204818,0.748853121,0.333333333,12.09302375,33.33333333,33.33333333,0,1
1,17.33248974,-0.002803212,0.787369031,0.5,11.30575984,-12.12121212,20,-0.016807118,1
1,17.33248974,-0.001868808,0.791266593,0.5,10.56506026,-20,20,-0.016807118,1
1,17.33248974,-0.001245872,0.771460126,0.6,9.868770401,-35.29411765,33.33333333,0,1
1,17.33248974,-0.000830581,0.736077858,0.75,9.214756978,-48.88888889,25,0,1
1,17.33248974,-0.000553721,0.691111242,0.75,8.600919788,-57.14285714,14.28571429,0,1
0,17.33248974,-0.000369147,0.640920272,1,8.025201605,-66.66666667,14.28571429,0,1
1,17.33248974,-0.000246098,0.588625778,1,7.48559639,-66.66666667,0,0,1
1,17.33248974,-0.000164065,0.536413145,1,6.980155939,-58.33333333,-50,0,1
1,17.33248974,-0.000109377,0.485766725,1,6.506995142,-51.85185185,-50,0,1
0,17.33248974,-7.29E-05,0.437650115,1,6.205014002,-219.6078431,-100,-0.034486176,0
1,0.191306363,-0.006715279,0.338499859,0.666666667,5.772278472,-155.5555556,-66.66666667,-0.017094433,1
0,0.191306363,-0.004476852,0.211558363,1,5.497044242,-246.2962963,-66.66666667,-0.017699577,0
1,0.191306363,-0.002984568,0.073187087,1,5.228558148,-168.7943262,-66.66666667,-0.03509132,0
0,62.60269992,0.001343621,-0.03798482,1,7.283824207,-129.6296296,-66.66666667,0,0
1,62.60269992,0.000895747,-0.126203795,0.333333333,8.967339097,-4.487179487,-14.28571429,0.03509132,1
1,84.4627715,0.003930498,-0.167747628,0.666666667,8.530830328,-56.69781931,-25,0.017699577,0
0,91.7214438,0.005953666,-0.150230961,0,10.33894968,65.42056075,0,0.017094433,1
1,95.13246298,0.007302444,-0.06930911,0.333333333,17.98309138,9.150326797,-9.090909091,0.017391743,0
0,42.54407277,-0.001798371,-0.007044495,0,15.69003296,247.9166667,25,0.065597282,1
0,23.25846223,-0.007865581,-0.013982157,0.428571429,13.26186469,85.78431373,5.263157895,0.033901552,1
0,23.25846223,-0.00524372,-0.064098249,0.714285714,12.24174107,-7.179487179,-4.761904762,-0.082691716,0
1,49.17686769,-0.00016248,-0.111287253,0.571428571,13.47548852,43.07692308,0,-0.016807118,0
0,85.6148291,0.016558346,-0.017963933,0.428571429,18.242676,83.93285372,4.347826087,0.033901552,0
1,92.26748171,0.024372231,0.263902025,0,24.57239158,194.0074906,28,0.081345639,0
0,92.26748171,0.016248154,0.645050318,0,22.8153544,148.2866044,25,0.064538521,0
1,92.26748171,0.010832103,1.064278138,0,21.18407723,119.6581197,36.36363636,0,0
1,94.4378603,0.010554735,1.506250107,0,19.66954171,137.8787879,41.66666667,0.030771659,0
0,96.08582002,0.010369823,1.958650525,0,21.83784709,130.3448276,44,0.045809536,0
1,41.18080333,-0.003086784,2.312793249,0,20.27676805,142.0289855,44,0.044451763,1
1,41.18080333,-0.002057856,2.581067611,0,18.82736461,123.8683128,50,0.029413885,1
0,41.18080333,-0.001371904,2.775225239,0,17.4816365,108.1300813,45.45454545,0,1
1,41.18080333,-0.000914603,2.9061495,0,16.23215814,94.79166667,52.38095238,0,1
1,70.05536947,0.002723598,3.008237286,0.272727273,15.34623809,28.98550725,15.78947368,-0.044451763,0
1,70.05536947,0.001815732,3.079622056,0.272727273,14.49431452,22.22222222,37.5,-0.044451763,0
0,90.66874256,0.007877155,3.169139162,0,15.26991613,83.66533865,64.70588235,0.044451763,0
0,96.95569191,0.01858477,3.352806798,0,21.12140574,100,64.70588235,0.0588405,0
0,96.95569191,0.012389847,3.575327716,0,19.24761191,90.47619048,62.5,0.014388737,0
