Sentiment,RSI,EMAcross,MACD,WPR,ADX,CCI,CMO,ROC,Price.change
0,60.14417715,0.013829407,5.847238589,0,34.36682691,113.5353535,79.06976744,0.063369614,0
0,77.00876129,0.042552938,6.536989343,0,33.37851614,99.02634593,79.06976744,0.00881063,0
0,68.33427611,0.021701959,7.111453788,0,31.89676044,89.49485919,78.31325301,0,0
0,58.45711361,0.007801306,7.547854746,0,30.44143735,80.80328906,78.04878049,0,1
0,48.04117364,-0.001465796,7.839821376,0.057971014,28.13720028,60.85910653,68.29268293,-0.017699577,0
0,48.04117364,-0.000977197,8.006368933,0.028985507,28.8275633,61.21568627,69.04761905,-0.00881063,0
0,76.4115257,0.019348535,8.110484592,0,29.04624389,62.9472693,69.76744186,0.017699577,1
1,81.4702861,0.01956569,8.164061679,0.066666667,29.2591865,45.90163934,84.81012658,0,0
0,90.57043428,0.033043793,8.206000727,0,33.40886213,54.83333333,71.42857143,0,0
0,52.15188203,0.002029196,8.173961395,0,31.30457497,72.52252252,71.42857143,0.01754431,0
0,52.15188203,0.001352797,8.077531524,0,29.78910703,78.97435897,68.42105263,0.00873368,0
0,26.68414506,-0.019098135,7.883769859,0,31.69748499,131.25,64.70588235,0.008658063,1
0,17.92882267,-0.026065424,7.592503869,1,27.91298435,-140.562249,26.31578947,-0.026433257,1
0,12.01531405,-0.030710282,7.209469676,1,24.73286845,-247.0588235,-25,-0.062242309,1
0,6.039371158,-0.047140188,6.714727703,1,22.97134737,-273.0496454,-47.36842105,-0.064538521,0
0,55.65931282,0.008573208,6.248117382,1,28.05884284,-186.2977602,-47.36842105,-0.037387532,0
0,39.86857791,-0.014284528,5.765617132,0.727272727,26.08575101,-87.70685579,-27.27272727,0.028170877,1
0,34.91572359,-0.016189685,5.27072731,1,24.5956668,-120.8835341,-36,0,0
0,73.86965153,0.04254021,4.899219609,0.636363636,31.06174071,-36.62790698,-11.11111111,0.009216655,0
0,76.506167,0.035026806,4.62706691,0.363636364,30.83156958,22.09072978,-3.448275862,0.064538521,0
0,83.84241596,0.043351204,4.463115446,0,31.92019366,108.8014981,9.090909091,0.070826053,0
1,91.65753717,0.068900803,4.448766311,0,35.42969767,138.358459,20,0.068992871,0
1,57.12167801,0.012600535,4.445965171,0,34.40181215,174.2616034,28.20512821,0.066139803,1
0,46.58904129,-0.004932976,4.411724386,0.3,31.10092268,82.08168643,9.090909091,-0.00836825,1
1,46.58904129,-0.003288651,4.349195084,0.5,29.5730055,30.43478261,0,-0.083381609,0
0,67.07730932,0.017807566,4.303489377,0.45,29.84948428,43.34650856,0,-0.025533302,0
0,42.57808776,-0.008128289,4.218981573,0.25,30.10509899,80.16877637,16.66666667,0.042559614,1
0,51.44514165,0.001247807,4.118594322,0.4,27.23571476,38.74538745,16.66666667,0.008583744,0
0,87.89510999,0.087498538,4.180532123,0,36.14050027,132.5757576,39.62264151,0.048790164,0
0,87.89510999,0.058332359,4.327414756,0,35.56691337,169.5380774,44.82758621,0.113023388,0
0,92.03475287,0.065554906,4.559086205,0,35.81109541,140.7407407,41.81818182,0.038915416,0
-1,92.94013089,0.050369937,4.8301574,0,35.64644245,159.0909091,54.38596491,0.037457563,0
0,94.73536229,0.046913291,5.122433772,0,35.98086428,136.1111111,51.85185185,0.044783603,1
0,95.57859158,0.037942194,5.409952035,0.045454545,35.88483432,107.4829932,46.15384615,0,0
0,96.43507482,0.031961463,5.676297563,0,36.90765132,113.4790528,44,0.014493007,0
0,97.74534258,0.034640975,5.923965074,0,34.65408749,102.3809524,41.66666667,0.028987537,0
0,97.74534258,0.023093984,6.130687106,0,35.42101684,107.1038251,39.13043478,0.028370697,0
0,98.40489728,0.022062656,6.296639413,0,36.6333229,102.9002781,60.97560976,0.028170877,1
1,98.40489728,0.014708437,6.412061163,0.035714286,34.70012138,85.55555556,73.68421053,0,1
1,98.40489728,0.009805625,6.473659691,0.037037037,32.8341244,79.60784314,72.97297297,-0.006968669,1
0,33.08198262,-0.00679625,6.459262354,0.111111111,31.91014269,55.43735225,60,-0.01408474,0
1,73.16398413,0.015469167,6.417312504,0.166666667,30.08656123,46.8847352,75,-0.01408474,0
0,29.29571718,-0.023020556,6.28737066,0,27.54385017,88.32391714,69.23076923,0.021053409,1
0,29.29571718,-0.015347037,6.094727404,0.384615385,24.89989852,-17.70114943,30.76923077,-0.014285957,0
0,44.31921325,-0.003564691,5.870456006,0.625,23.84354895,-38.38383838,30.76923077,-0.035339366,0
0,65.99544046,0.010956872,5.647547981,0.5,25.34541499,-20.68965517,18.18181818,0.007168489,0
0,65.99544046,0.007304582,5.423992667,0.25,27.43810057,35.8974359,21.73913043,0.021353124,0
0,23.98242196,-0.021796946,5.153466972,0.4,24.12959239,24.24242424,27.27272727,0.014184635,1
0,71.5405915,0.03213537,4.935945628,1,21.91608323,-103.030303,0,-0.021353124,0
0,82.96157923,0.054756913,4.807616288,0,25.07920267,215.3846154,26.66666667,0.041385216,0
0,86.26802896,0.049837942,4.751774569,0,26.26199551,205.8823529,24.13793103,0.076161361,0
0,91.3208288,0.059891961,4.775885642,0,28.80484865,191.8859649,26.66666667,0.026668247,0
0,54.03846235,0.006594641,4.781185173,0,26.77006087,196.4341085,41.17647059,0.045610511,1
